"","lon","lat"
"270",-83.2077645,32.1287268
"271",-83.804868,32.1593447
"272",-84.8150781,34.2660473
"273",-83.2077645,31.7664035
"274",-83.3789389,33.3069978
"275",-84.2278796,32.5407455
"276",-82.9931607,31.8907647
"277",-82.8640623,34.0795372
"278",-83.804868,31.8875724
"279",-81.909826,32.1427011
"280",-84.2278796,34.8580405
"281",-84.4802606,33.4502206
"282",-85.2308414,34.2828967
"283",-84.1435136,34.2358502
"284",-83.2077645,34.3645724
"285",-84.3962535,33.8033965
"286",-84.4802606,34.6935359
"287",-82.6267345,33.2422994
"288",-81.6035062,31.2624169
"289",-84.8567932,34.4891699
"290",-84.2278796,30.9050079
"291",-83.1649001,33.5186591
"292",-84.0167423,33.9190653
"293",-83.5496566,34.6478893
"294",-83.804868,34.30778
"295",-83.0361376,33.2882621
"296",-85.1900684,33.8021715
"297",-84.8567932,32.7032697
"298",-82.9501558,34.3500039
"299",-85.1479364,33.2990406
"300",-84.1435136,33.4347963
"301",-83.634843,32.4219655
"302",-83.2934086,31.5893221
"303",-83.5496566,34.1174511
"304",-83.7199136,33.3246924
"305",-82.605118,31.8234851
"306",-85.4788065,34.9109017
"307",-84.1435136,34.412912
"308",-81.9971108,32.7781246
"309",-82.6915429,32.0999794
"310",-84.1435136,33.0765883
"311",-83.0361376,31.0291269
"312",-82.9931607,32.433014
"313",-84.1435136,31.8128435
"314",-81.4718387,31.842969
"315",-82.4319405,33.7875101
"316",-81.8224362,31.7755541
"317",-83.2934086,30.8600022
"318",-83.9744262,34.5813972
"319",-82.5185837,33.5258626
"320",-81.3839326,31.4748147
"321",-84.059029,32.3523607
"322",-81.4718387,32.0236584
"323",-81.9534815,33.088805
"324",-83.9532571,33.2691443
"325",-83.4643551,32.68356
"326",-83.9744262,34.8457601
"327",-82.0842901,32.4241804
"328",-85.0649071,33.5642239
"329",-83.7199136,33.7708613
"330",-82.4752757,31.134411
"331",-82.6915429,33.4470392
"332",-82.820974,32.962702
"333",-81.909826,31.5092107
"334",-84.564147,32.0129889
"335",-85.3136218,34.4632661
"336",-83.7199136,34.6567728
"337",-84.981754,34.8033566
"338",-83.4643551,31.9611759
"339",-82.7778579,33.808264
"340",-82.820974,31.5182285
"341",-83.8473015,31.2072856
"342",-82.2583297,33.5098514
"343",-83.4643551,31.1428037
"344",-83.3789389,34.9027286
"345",-83.9744262,32.7090798
"346",-83.8473015,30.8417409
"347",-82.4319405,33.0740753
"348",-84.2278796,31.9981596
"349",-84.4802606,34.2514526
"350",-83.357567,33.9519347
"351",-84.8150781,32.1141344
"352",-83.2077645,31.3118535
"353",-84.5222189,32.6891322
"354",-82.8855961,33.5697878
"355",-82.0842901,32.0634576
"356",-83.5496566,31.4205597
"357",-83.7199136,32.7865735
"358",-82.0842901,30.7917361
"359",-81.1196075,31.9994194
"360",-85.0025539,31.6447931
"361",-84.375233,33.5571944
"362",-83.5496566,30.8730159
"363",-81.6035062,30.898276
"364",-84.7315563,33.7290225
"365",-84.8984775,31.3901106
"366",-84.6479124,31.5621777
"367",-84.7315563,33.3716708
"368",-84.564147,33.8999297
"369",-84.8150781,32.2952274
"370",-85.1479364,34.8981727
"371",-82.820974,30.9716985
"372",-81.3839326,32.378148
"373",-84.2278796,31.5439375
"374",-82.3017728,32.5726629
"375",-82.9501558,30.7503289
"376",NA,NA
"377",-91.135302,40.0577692
"378",-87.6282598,41.876178
"379",-88.90306,38.0157197
"380",-88.050979,38.4267827
"381",-89.4742177,38.902985
"382",-88.8263006,42.3484976
"383",-88.2071598,40.4988592
"384",-89.3606298,37.1670164
"385",-90.658333,39.1733216
"386",-89.9626799,42.0385843
"387",-88.556531,39.0621773
"388",-88.0900762,39.0554965
"389",-87.7763333,39.7131223
"390",-90.6773046,41.1985037
"391",-90.1869644,38.2742526
"392",-89.4742177,39.2363688
"393",-89.8130356,40.0221361
"394",-88.90306,40.1810363
"395",-88.2071598,39.7617631
"396",-88.0900762,41.8243831
"397",-90.9438468,40.8335548
"398",-88.556531,40.0543526
"399",-89.3606298,40.9972934
"400",-88.5951751,37.417132
"401",-89.0179332,39.0669568
"402",-89.2847251,41.238474
"403",-89.7755338,38.0629321
"404",-88.0900762,38.7212791
"405",-90.563609,41.3998209
"406",-90.7152749,39.9379573
"407",-89.4742177,41.3599156
"408",-89.6251646,39.7337353
"409",-90.6393702,40.1844543
"410",-90.2620042,39.9398601
"411",-88.2461183,40.2138865
"412",-89.3226954,39.5672183
"413",-87.7763333,39.3824189
"414",-88.556531,38.7279431
"415",-89.6251646,38.5684442
"416",-88.2461183,39.5560011
"417",-87.697554,41.7376587
"418",-87.7763333,39.0499568
"419",-88.2071598,39.2653533
"420",-88.7108964,41.8329981
"421",-88.2461183,38.0501137
"422",-89.8505012,41.7605503
"423",-88.0900762,41.5054724
"424",-88.864698,37.7183241
"425",-89.1705998,42.3121109
"426",-89.1705998,40.7128889
"427",-89.9253233,40.2271003
"428",-88.7493998,37.2478298
"429",-89.3226954,37.7218304
"430",-87.697554,40.7740275
"431",-87.8156715,38.4226484
"432",-88.864698,38.2267348
"433",-90.2244662,40.5531823
"434",-88.2461183,37.7107751
"435",-90.3748354,39.4029862
"436",-88.4016041,41.3500531
"437",-91.135302,40.3849365
"438",-88.362785,37.4995097
"439",-89.8130356,41.0795661
"440",-90.8294002,39.5662363
"441",-89.1324866,37.2512419
"442",-89.2847251,37.5086525
"443",-87.697554,40.122469
"444",-88.9413865,41.4363987
"445",-90.6773046,40.8758777
"446",-89.9253233,38.400812
"447",-88.556531,37.7149675
"448",-88.90306,37.4203764
"449",-88.4016041,41.987884
"450",-90.4879916,39.6094934
"451",-88.864698,39.3980704
"452",-89.9253233,38.9041402
"453",-89.6251646,42.314489
"454",-89.4742177,40.5522078
"455",-90.2244662,40.8776411
"456",-90.0746767,41.361088
"457",-88.4016041,42.3039993
"458",-87.7763333,38.7157534
"459",-89.3226954,38.3988869
"460",-88.4016041,38.3899815
"461",-89.3226954,38.0612022
"462",-88.864698,40.5478429
"463",-89.0179332,39.8949055
"464",-89.9253233,39.2375268
"465",-87.8271534,42.3689363
"466",-88.864698,38.7313284
"467",-88.4403883,41.5507043
"468",-89.3226954,41.6789842
"469",-88.556531,40.8688604
"470",-90.2244662,39.7341219
"471",-88.5951751,39.6020543
"472",-89.3226954,41.9969811
"473",-89.7755338,40.7156396
"474",-87.7763333,41.1790977
"475",-90.3748354,39.0704754
"476",-90.2244662,42.3148804
"477",-89.3226954,40.061338
"478",-88.556531,38.0543187
"479",-90.6773046,40.3885122
"480",NA,NA
"481",-71.1448516,42.17668
"482",-71.8571331,42.4096528
"483",-71.0504229,42.3522866
"484",-70.099451,41.2834704
"485",-70.7168469,41.9120406
"486",-73.1821623,42.311782
"487",-71.1448516,41.7938406
"488",-72.6624209,42.3471357
"489",-71.2874209,42.467206
"490",-72.6151169,42.530599
"491",-72.6624209,42.1172314
"492",-70.9071236,42.7051144
"493",-70.3209113,41.6990958
"494",-71.0621929,42.3595949
"495",-70.6692655,41.4039539
"496",-83.6386226,44.3340462
"497",-85.023346,42.9892119
"498",-83.8473015,42.6207951
"499",-82.820974,42.7168759
"500",-86.3242225,44.2444704
"501",-88.4902778,46.2758153
"502",-85.513329,46.5827512
"503",-85.354965,43.6201025
"504",-87.5746277,45.4995277
"505",NA,NA
"506",-84.9963081,46.023372
"507",-86.0733634,45.0821226
"508",-84.3542049,42.6468943
"509",-84.6897495,44.3516109
"510",-83.1649001,43.0482433
"511",-83.597821,45.5729299
"512",-82.6483442,43.016179
"513",-84.8567932,43.598799
"514",-84.0167423,43.4044253
"515",-85.520024,42.2278346
"516",-85.023346,44.6674445
"517",-85.520024,43.0097027
"518",-84.3542049,42.1764362
"519",-85.8486236,43.9446996
"520",-85.520024,44.387157
"521",-85.9084434,42.5938744
"522",-84.0167423,41.8433859
"523",-84.7283408,45.8686555
"524",-83.6773928,43.9973355
"525",-88.3010401,46.7352761
"526",-85.354965,42.5354321
"527",-84.0167423,43.7109732
"528",-87.5593823,46.644579
"529",-86.4996546,43.9664537
"530",-85.023346,41.8913835
"531",-85.023346,42.2073905
"532",-84.3542049,43.5750978
"533",-85.023346,44.366621
"534",-83.5070203,41.9738893
"535",-85.1894045,43.3057341
"536",-84.1403141,45.0742794
"537",-86.1261055,43.294941
"538",-85.7666645,43.5593582
"539",-83.336188,42.5921924
"540",-86.2895052,43.643476
"541",-84.1857115,44.3270741
"542",-89.3131189,46.8727913
"543",-85.354965,43.9257279
"544",-84.1857115,44.6278903
"545",-84.6482398,45.0992063
"546",-85.520024,44.687984
"547",-84.6897495,43.2836505
"548",-86.0937312,42.953023
"549",-88.5694012,47.1211215
"550",-82.820974,43.9466791
"551",-84.5222189,42.9663458
"552",-84.6897495,44.6524316
"553",-86.9844175,45.7124142
"554",-87.8616098,45.9601394
"555",-85.520024,41.9118044
"556",-82.7347142,43.4069041
"557",-86.1903622,46.0693515
"558",-88.0490907,47.3400149
"559",-83.336188,42.2790746
"560",-86.0121573,42.2459665
"561",-84.5636283,45.5472257
"562",-83.5405412,45.0317209
"563",-85.1769095,44.9730441
"564",-86.4904519,46.4246176
"565",-86.7416374,42.0320742
"566",-83.6773928,43.0777289
"567",-84.3542049,44.0327885
"568",-86.0371264,44.6458455
"569",-85.0619039,45.2442166
"570",-83.6022398,44.6727944
"571",-84.5932094,46.3117082
"572",-86.0121573,41.9299158
"573",-84.7733325,42.5886496
"574",-84.9769067,45.6418969
"575",-84.1857115,42.949754
"576",-84.8567932,44.0565054
"577",-89.921474,46.4392785
"578",-83.8473015,42.3076493
"579",-84.5222189,41.8685961
"580",-83.5070203,43.5301144
"581",-80.8986502,35.8310501
"582",-76.1783739,35.3777712
"583",-82.1496049,36.0277763
"584",-79.8744836,35.3587922
"585",-79.2451149,35.0432488
