"","Program","Location","Companies","Exits","Funding","Average","link"
"160","TexDrive","Moscow RU",7,"$                   0","$             650,000","$              92,857","http://www.seed-db.com/accelerators/viewall?acceleratorid=7007"
"161","The Alchemist Accelerator","Silicon Valley, CA US",185,"$                   0","$         346,727,807","$           1,874,204","http://www.seed-db.com/accelerators/viewall?acceleratorid=43001"
"162","The Ark","Fayetteville, AR US",35,"$                   0","$           1,251,666","$              35,761","http://www.seed-db.com/accelerators/viewall?acceleratorid=49047"
"163","The Bakery","London UK",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=450002"
"164","The Brandery","Cincinnati, OH US",44,"$                   0","$          87,375,432","$           1,985,805","http://www.seed-db.com/accelerators/viewall?acceleratorid=2004"
"165","The Iron Yard","Greenville and Spartanburg, SC US",10,"$                   0","$           2,000,000","$             200,000","http://www.seed-db.com/accelerators/viewall?acceleratorid=7008"
"166","The Morpheus","Bangalore IN",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=8010"
"167","The Yield Lab","St. Louis, MO US",7,"$                   0","$          23,452,336","$           3,350,333","http://www.seed-db.com/accelerators/viewall?acceleratorid=5667465501605888"
"168","Think Big Partners Accelerator","Kansas City, MO US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=1909001"
"169","TLabs","Delhi-NCR IN",3,"$                   0","$           1,360,000","$             453,333","http://www.seed-db.com/accelerators/viewall?acceleratorid=140003"
"170","TopSeedsLab","Madrid ES",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=6508459021303808"
"171","Triangle Startup Factory","Durham, NC US",6,"$                   0","$           2,835,970","$             472,661","http://www.seed-db.com/accelerators/viewall?acceleratorid=1010"
"172","Tumml","San Francisco, CA US",18,"$                   0","$           4,865,000","$             270,277","http://www.seed-db.com/accelerators/viewall?acceleratorid=5730485825175552"
"173","Umbono","Cape Town ZA",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=10001"
"174","Upstart Memphis","Memphis, TN US",4,"$                   0","$              15,000","$               3,750","http://www.seed-db.com/accelerators/viewall?acceleratorid=6269921033977856"
"175","UpTech","Northern Kentucky / Cincinnati US",22,"$                   0","$           5,270,830","$             239,583","http://www.seed-db.com/accelerators/viewall?acceleratorid=144001"
"176","Upwest Labs","Silicon Valley, CA US",42,"$                   0","$         244,961,189","$           5,832,409","http://www.seed-db.com/accelerators/viewall?acceleratorid=98001"
"177","Velocity Indiana Accelerator","Jeffersonville, IN US",21,"$                   0","$           5,449,000","$             259,476","http://www.seed-db.com/accelerators/viewall?acceleratorid=1725001"
"178","Venturegeeks","Petah-Tikva IL",6,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=117001"
"179","VentureHive","Miami, FL US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=267008"
"180","VictorySpark","Milwaukee, WI US",8,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=121006"
"181","Wayra","Worldwide N/A",48,"$          44,000,000","$          22,102,464","$             460,468","http://www.seed-db.com/accelerators/viewall?acceleratorid=4882922146365440"
"182","Women Innovate Mobile","New York, NY US",4,"$                   0","$             750,000","$             187,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=5009"
"183","XLerateHealth","Louisville, KY US",12,"$                   0","$              30,000","$               2,500","http://www.seed-db.com/accelerators/viewall?acceleratorid=641003"
"184","XLR8HI","Honolulu, HI US",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=358002"
"185","XTRATOS","Mexico MX",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=6090062500462592"
"186","Y Combinator","Silicon Valley, CA US",1276,"$       3,860,233,100","$      15,319,049,033","$          12,005,524","http://www.seed-db.com/accelerators/viewall?acceleratorid=1011"
"187","YEurope","Vienna AT",0,"$                   0","$                   0","","http://www.seed-db.com/accelerators/viewall?acceleratorid=7009"
"188","ZeroTo510","Memphis, TN US",6,"$                   0","$           1,214,000","$             202,333","http://www.seed-db.com/accelerators/viewall?acceleratorid=1027003"
