"area_fips","area_title","area_descr","msa_state","msa","msa_states","msa_cities"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","VA","Virginia Beach"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","VA","Norfolk"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","VA","Newport News"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","NC","Virginia Beach"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","NC","Norfolk"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach-Norfolk-Newport News","VA-NC","MSA","NC","Newport News"
"C4730","Visalia-Porterville, CA MSA","Visalia-Porterville","CA","MSA","CA","Visalia"
"C4730","Visalia-Porterville, CA MSA","Visalia-Porterville","CA","MSA","CA","Porterville"
"C4738","Waco, TX MSA","Waco","TX","MSA","TX","Waco"
"C4746","Walla Walla, WA MSA","Walla Walla","WA","MSA","WA","Walla Walla"
"C4758","Warner Robins, GA MSA","Warner Robins","GA","MSA","GA","Warner Robins"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","DC","Washington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","DC","Arlington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","DC","Alexandria"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","VA","Washington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","VA","Arlington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","VA","Alexandria"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","MD","Washington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","MD","Arlington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","MD","Alexandria"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","WV","Washington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","WV","Arlington"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria","DC-VA-MD-WV","MSA","WV","Alexandria"
"C4794","Waterloo-Cedar Falls, IA MSA","Waterloo-Cedar Falls","IA","MSA","IA","Waterloo"
"C4794","Waterloo-Cedar Falls, IA MSA","Waterloo-Cedar Falls","IA","MSA","IA","Cedar Falls"
"C4806","Watertown-Fort Drum, NY MSA","Watertown-Fort Drum","NY","MSA","NY","Watertown"
"C4806","Watertown-Fort Drum, NY MSA","Watertown-Fort Drum","NY","MSA","NY","Fort Drum"
"C4814","Wausau, WI MSA","Wausau","WI","MSA","WI","Wausau"
"C4826","Weirton-Steubenville, WV-OH MSA","Weirton-Steubenville","WV-OH","MSA","WV","Weirton"
"C4826","Weirton-Steubenville, WV-OH MSA","Weirton-Steubenville","WV-OH","MSA","WV","Steubenville"
"C4826","Weirton-Steubenville, WV-OH MSA","Weirton-Steubenville","WV-OH","MSA","OH","Weirton"
"C4826","Weirton-Steubenville, WV-OH MSA","Weirton-Steubenville","WV-OH","MSA","OH","Steubenville"
"C4830","Wenatchee, WA MSA","Wenatchee","WA","MSA","WA","Wenatchee"
"C4854","Wheeling, WV-OH MSA","Wheeling","WV-OH","MSA","WV","Wheeling"
"C4854","Wheeling, WV-OH MSA","Wheeling","WV-OH","MSA","OH","Wheeling"
"C4862","Wichita, KS MSA","Wichita","KS","MSA","KS","Wichita"
"C4866","Wichita Falls, TX MSA","Wichita Falls","TX","MSA","TX","Wichita Falls"
"C4870","Williamsport, PA MSA","Williamsport","PA","MSA","PA","Williamsport"
"C4890","Wilmington, NC MSA","Wilmington","NC","MSA","NC","Wilmington"
"C4902","Winchester, VA-WV MSA","Winchester","VA-WV","MSA","VA","Winchester"
"C4902","Winchester, VA-WV MSA","Winchester","VA-WV","MSA","WV","Winchester"
"C4918","Winston-Salem, NC MSA","Winston-Salem","NC","MSA","NC","Winston"
"C4918","Winston-Salem, NC MSA","Winston-Salem","NC","MSA","NC","Salem"
"C4934","Worcester, MA-CT MSA","Worcester","MA-CT","MSA","MA","Worcester"
"C4934","Worcester, MA-CT MSA","Worcester","MA-CT","MSA","CT","Worcester"
"C4942","Yakima, WA MSA","Yakima","WA","MSA","WA","Yakima"
"C4950","Yauco, PR MSA","Yauco","PR","MSA","PR","Yauco"
"C4962","York-Hanover, PA MSA","York-Hanover","PA","MSA","PA","York"
"C4962","York-Hanover, PA MSA","York-Hanover","PA","MSA","PA","Hanover"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","OH","Youngstown"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","OH","Warren"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","OH","Boardman"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","PA","Youngstown"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","PA","Warren"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA","Youngstown-Warren-Boardman","OH-PA","MSA","PA","Boardman"
"C4970","Yuba City, CA MSA","Yuba City","CA","MSA","CA","Yuba City"
"C4974","Yuma, AZ MSA","Yuma","AZ","MSA","AZ","Yuma"
